短信类型,状态,已读,协议,主题,联系人,时间,呼叫中心,短信内容
收件箱,-1,0,0,,`106934596254105093,2020-05-10 14:54:29,+8613800311500,"【OPPO】The verification code 175757 is valid for 5 minutes. Don't share it with anyone."
收件箱,-1,0,0,,`1069077561163,2020-05-10 14:58:19,+8613800311543,"【OPPO】You are viewing data stored in the cloud. The verification code is 212958%^ which will expire after 5 minutes. For security%^ don't disclose the code to others."
收件箱,-1,0,0,,`1069077561163,2020-05-10 14:58:25,+8613800311500,"【OPPO】You are viewing data stored in the cloud. The verification code is 850815%^ which will expire after 5 minutes. For security%^ don't disclose the code to others."
收件箱,0,1,0,,`106904251183,2020-05-10 14:52:27,,"【OPPO】You have completed changing the passcode for OPPO ID (198******90)%^modify time: 2020-05-10 14:52%^ on the device: WEB. If this is not done by you%^ your account may have been hacked. Please sign in at id.oppo.com to change your security information immediately."
收件箱,0,1,0,,`8080,2019-09-30 20:07:17,,"Hi! Thanks for loading P500.0. This is valid until 2020/09/29 08:07:16. To check your balance%^ dial *143# for free."
收件箱,0,1,0,,`8080,2019-10-04 14:00:41,,"Hi! Thanks for loading P500.0. This is valid until 2020/10/03 02:00:40. To check your balance%^ dial *143# for free."
已发送,0,1,0,,`8080,2019-10-04 14:01:50,,"gs299"
收件箱,0,1,0,,`8080,2019-10-04 14:01:53,,"You're now registered to GoSURF299. Make it matter with 2GB plus app freebies%^ valid till 2019-11-03%^ 14:01:53."
收件箱,0,1,0,,`8080,2019-10-04 14:01:54,,"Get 1 free voucher to enjoy discounts when you shop or dine in your favorite shops using GCash! To claim%^ visit https://gcsh.app/p/MN3DJE and follow the instructions on the page. T&Cs apply. You can claim it w/in the validity of your promo. Text GOSHOP INFO to 8080 for more info. Data charges may apply. Per DTI-FTEB Permit No.16483%^ series of 2019."
收件箱,0,1,0,,`8080,2019-10-04 14:01:55,,"You can now enjoy free 1GB WiFi! Simply connect to @GoSURF_FreeWifi in over 2%^000 GoWiFi hotspots nationwide. Go to https://www.globe.com.ph/gowifi.html#hotspots to check out our list of hotspots.*(-%@*(-%@Also%^ Enjoy 2GB to GoWATCH and PLAY your favorite videos and games plus 1GB for an app of your choice all from your GoSURF!*(-%@*(-%@For FB%^ text GS299 FB*(-%@For Games (ML%^ AOV%^ PUBG%^ and more)%^ text GS299 GAMES*(-%@For YouTube & Dailymotion%^ text GS299 VIDEO*(-%@For Instagram%^ text GS299 IG*(-%@For Spotify Basic%^ text GS299 SPOTIFY*(-%@For Twitter%^ text GS299 TWITTER*(-%@For Viber%^ text GS299 VIBER*(-%@For Snapchat%^ text GS299 SNAPCHAT*(-%@For TikTok%^ text GS299 TIKTOK*(-%@*(-%@Send to 8080"
收件箱,0,1,0,,`8080,2019-10-04 14:49:52,,"Hi! Thanks for loading P500.0. This is valid until 2020/10/03 02:49:52. To check your balance%^ dial *143# for free."
收件箱,0,1,0,,`8080,2019-10-30 16:28:56,,"Get 1 free voucher to enjoy discounts when you shop or dine in your favorite shops using GCash! To claim%^ visit https://gcsh.app/p/R3QWZA and follow the instructions on the page. T&Cs apply. You can claim it w/in the validity of your promo. Text GOSHOP INFO to 8080 for more info. Data charges may apply. Per DTI-FTEB Permit No.16483%^ series of 2019."
收件箱,0,1,0,,`8080,2019-09-30 11:29:20,,"Hi! Thanks for loading P500.0. This is valid until 2020/09/29 11:29:15. To check your balance%^ dial *143# for free."
已发送,0,1,0,,`8080,2019-10-22 17:50:57,,"GOTSCOMBODD90"
收件箱,0,1,0,,`8080,2019-10-22 17:51:00,,"Sorry%^ your current load balance is not enough for the promo you created. Mag-load na to enjoy Globe Prepaid GoSAKTO!"
收件箱,0,1,0,,`8080,2019-10-22 17:55:01,,"Hi! Thanks for loading P300.0. This is valid until 2020/10/21 05:55:00. To check your balance%^ dial *143# for free."
收件箱,0,1,0,,`8080,2019-10-22 17:56:05,,"Hi! Thanks for loading P100.0. This is valid until 2020/10/21 05:55:53. To check your balance%^ dial *143# for free."
收件箱,0,1,0,,`8080,2019-10-22 17:57:20,,"Hi! Thanks for loading P100.0. This is valid until 2020/10/21 05:57:18. To check your balance%^ dial *143# for free."
已发送,0,1,0,,`8080,2019-10-22 17:57:35,,"GOTSCOMBODD90"
收件箱,0,1,0,,`8080,2019-10-22 17:57:39,,"You're now registered to GoSAKTO90. Make it matter with 2GB%^ unli allnet texts%^ and 1GB GoWiFi access valid for 7 days. To check your data and freebie balance%^ text DATA BAL. Send to 8080. To use your GoWiFi access%^ simply connect to @GoSURF_FreeWifi in over 2%^000 GoWiFi hotspots nationwide."
收件箱,0,1,0,,`8080,2019-10-22 17:57:42,,"Get 1 free voucher to enjoy discounts when you shop or dine in your favorite shops using GCash! To claim%^ visit https://gcsh.app/p/VZD6KM and follow the instructions on the page. T&Cs apply. You can claim it w/in the validity of your promo. Text GOSHOP INFO to 8080 for more info. Data charges may apply. Per DTI-FTEB Permit No.16483%^ series of 2019."
收件箱,0,1,0,,`8080,2019-10-22 17:57:52,,"As a special treat%^ you now have free 1GB/day access to Facebook%^ Instagram%^ Videos%^ and Games with your promo%^ valid until 2019-10-29! Your allocation will refresh daily once you browse Facebook%^ Instagram%^ Video or any Gaming app. For more info%^ text FBIGWNP INFO to 8080."
收件箱,0,1,0,,`8080,2019-10-29 14:58:42,,"Your free 1GB/day access to Facebook%^ Instagram%^ Videos%^ and Games will expire on 2019-10-29%^ 17:57:39."
收件箱,0,1,0,,`8080,2019-10-29 17:58:58,,"Your GoSAKTO promo has expired. Enjoy a week of surfing%^ texts and calls with the new GOSAKTO140! It has unli allnet texts%^ unli Globe/TM calls and 2GB for surfing%^ valid for 7 days%^ all for just P140. To register%^ text GOSAKTO140 to 8080 or dial *143# and choose GoSAKTO. You may also try GOSAKTO120%^ which has unli allnet texts%^ unli Globe/TM calls and 1GB for surfing%^ valid for 7 days."
收件箱,0,1,0,,`8080,2019-10-29 18:00:33,,"Your Unlimited Texts to All Networks from your GoSAKTO subscription has already expired. To register again%^ dial *143# or log-on to www.globe.com.ph/gosakto"
收件箱,0,1,0,,`8080,2019-10-29 18:00:37,,"Your free 1GB/day access to Facebook%^ Instagram%^ Videos%^ and Games has expired. Register to GOSAKTO90 to enjoy more consumable mobile internet and free 1GB/day access to Facebook%^ Instagram%^ Videos and Games! Text GOSAKTO90 to 8080."
已发送,0,1,0,,`8080,2019-10-29 20:57:09,,"GOTSCOMBODD90"
收件箱,0,1,0,,`8080,2019-10-29 20:57:12,,"You're now registered to GoSAKTO90. Make it matter with 2GB%^ unli allnet texts%^ and 1GB GoWiFi access valid for 7 days. To check your data and freebie balance%^ text DATA BAL. Send to 8080. To use your GoWiFi access%^ simply connect to @GoSURF_FreeWifi in over 2%^000 GoWiFi hotspots nationwide."
