语言	经济与成本	自然环境
墨西哥	0.16	n
印度	0.08	y
加拿大	0.08
菲律宾	0.06	y
德国	0.04
拉美	0.04	波多黎各哥斯达黎加	189,000[12]
以色列	0.02
墨西哥	1,500,000[2][3]
印度	700,000[4]
德国	324,000[5]
菲律宾	220,000–600,000[6][7]
以色列	200,000[8][9]
英国	139,000–197,143[10][11]
波多黎各	189,000[12]
哥斯达黎加	130,000[13]
南韩	120,000–158,000[14]
法国	100,000[15]
中国	71,493[16]
巴西	70,000[17]
香港香港	60,000[18]
澳大利亚	56,276[19]
日本	55,713 (2017)[20]
巴基斯坦	52,486[21]
意大利	50,000–54,000[22]
阿拉伯联合酋长国	50,000[23]
海地	45,000[24]
沙特阿拉伯	40,000[25]
阿根廷	37,000[26]
西班牙	34,638 (2018)[27]
挪威	33,509[28]
巴哈马	30,000[29]
俄国	30,000[30]
黎巴嫩	25,000[31]
巴拿马	25,000[32]
萨尔瓦多	19,000[33]
新西兰	17,751[34]
爱尔兰	17,552 (2017)[35]
洪都拉斯	15,000[36]
智利	12,000[37]
Taiwan	10,645[38]
奥地利	10,175[39]
百慕大	8,000[40]
科威特	8,000[41]
危地马拉	6,345[42]
尼加拉瓜	4,000[43]

